user_id,flag_NPL,Probability_to_Default,,
1,0,1.37%,,
2,0,2.90%,,
3,0,4.47%,,
4,0,12.98%,,
5,0,9.16%,,
6,0,4.91%,,
7,0,9.60%,,
8,0,4.81%,,
9,0,7.89%,,
10,0,1.84%,,
11,0,4.09%,,
12,0,5.29%,,
13,0,1.28%,,
14,1,5.05%,,
15,0,10.51%,,
16,1,3.13%,,
17,0,5.00%,,
18,0,1.89%,,
19,0,6.36%,,
20,0,4.43%,,
21,0,5.90%,,
22,0,3.70%,,
23,1,21.37%,,
24,0,4.10%,,
25,0,1.30%,,
26,0,6.45%,,
27,0,5.05%,,
28,0,3.41%,,
29,0,5.05%,,
30,0,1.52%,,
31,0,3.13%,,
32,0,7.57%,,
33,0,5.44%,,
34,0,1.58%,,
35,0,5.89%,,
36,0,7.81%,,
37,0,5.58%,,
38,0,3.70%,,
39,0,1.09%,,
40,0,2.48%,,
41,0,5.00%,,
42,0,6.97%,,
43,0,4.39%,,
44,0,3.70%,,
45,0,5.05%,,
46,0,9.13%,,
47,0,1.95%,,
48,0,1.95%,,
49,0,4.01%,,
50,0,4.47%,,
51,0,3.25%,,
52,0,2.73%,,
53,0,2.41%,,
54,0,2.86%,,
55,0,4.79%,,
56,0,12.75%,,
57,0,15.97%,,
58,0,5.06%,,
59,0,15.91%,,
60,0,4.43%,,
61,0,5.88%,,
62,0,3.42%,,
63,0,3.95%,,
64,0,4.03%,,
65,0,1.97%,,
66,0,1.67%,,
67,0,4.47%,,
68,0,4.10%,,
69,0,8.51%,,
70,0,1.79%,,
71,0,6.46%,,
72,0,3.25%,,
73,0,4.69%,,
74,1,2.75%,,
75,0,5.19%,,
76,0,3.70%,,
77,0,3.28%,,
78,0,7.83%,,
79,1,4.79%,,
80,0,4.32%,,
81,0,1.11%,,
82,0,3.48%,,
83,0,6.57%,,
84,0,10.91%,,
85,0,8.21%,,
86,0,0.33%,,
87,0,0.33%,,
88,0,3.48%,,
89,0,10.91%,,
90,0,1.28%,,
91,0,5.00%,,
92,1,14.81%,,
93,0,5.05%,,
94,0,5.00%,,
95,0,5.90%,,
96,0,1.70%,,
97,0,4.11%,,
98,0,5.05%,,
99,0,5.05%,,
100,0,3.26%,,
101,0,4.83%,,
102,0,3.73%,,
103,0,4.94%,,
104,0,4.43%,,
105,0,2.48%,,
106,0,4.36%,,
107,0,2.52%,,
108,0,1.36%,,
109,0,3.41%,,
110,0,1.77%,,
111,0,12.75%,,
112,0,1.51%,,
113,0,8.51%,,
114,0,1.58%,,
115,0,5.79%,,
116,0,3.70%,,
117,0,13.92%,,
118,0,4.08%,,
119,0,2.07%,,
120,0,3.13%,,
121,0,2.47%,,
122,0,6.45%,,
123,0,2.99%,,
124,0,5.94%,,
125,0,6.40%,,
126,0,4.79%,,
127,0,8.51%,,
